"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","±³ÅëÁ¤º¸","È¨ÆäÀÌÁö ¾ğ¾î","´ëÇ¥¸Ş´º"
"1214","en","Romanee Conti","https://english.visitseoul.net/restaurants/Romanee-Conti/ENP001211?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP001211","110-240 72-1, Anguk-dong, Jongno-gu, Seoul ","03060 30-20, Bukchon-ro 1-gil, Jongno-gu, Seoul ","+82-2-722-4776","","Monday-Friday 11:30-23:00, Saturday 16:00-23:00 KST","Subway Line 3, Anguk Station, Exit 2","",""
"285","zh-TW","÷×ìÒã¼íŞ","https://tchinese.visitseoul.net/restaurants/÷×ìÒã¼íŞ-CB/TCP000281?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP000281","110-043 âÏì³ã¼ñ£ÖØÏ¡÷×ìÒÔ× 10-3 ","03036 âÏì³ã¼ñ£ÖØÏ¡í¹ùÇÚ¦ÖØ15Ê¶18 ","+82-2-722-0911","https://tonginmarket.modoo.at/","07:00~21:00 KST (ëîïÁÊ«ì»êóá¶ÜôÔÒ) øµÓ×cafeç½åöãÁÊà ñÎì£~ñÎçé 11:00~16:00 KST£¬ñÎ×¿~ñÎìí 11:00~17:00 KST ¡ØøµÓ×cafeÔŞï±áÑ?ãÁÊà£ºøÁìí11:00~15:00 KST£¬ñÎØÇ11:00~16:00 KST","ò¢ôÑ3ûÜàÊÌØÜØÏàó×2ûÜõóÏ¢£¬æÍîÊ2ûÜõóÏ¢ûú3ûÜõóÏ¢ÊàîÜÔ³ÖØòÁú¼¡æ åÚãæõ½ÑÑÍ·ä¨í®ÖØÏ¢ñ§ï® ","",""
"1692","zh-TW","Apple House","","137-811 âÏì³ã¼ßúõ®Ï¡ÚïøİÔ×978 ","06548 âÏì³ã¼ßúõ®Ï¡ãæÚïøİÖØ50 ","+82-2-595-1629","","10:00 ~ 21:30","ò¢ôÑ9ûÜàÊÏÁÚïøİó×3ûÜõóÏ¢ ","",""
"1063","zh-CN","Goshen","https://chinese.visitseoul.net/restaurants/Goshen-CN/CNP001056?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP001056","135-954  ","06014 âÏ?ã¼Ë°Ñõ?à¾×ÕÖØ158Ê¶18 ","+82-2-515-1863","http://www.i-goshen.net","11:30~04:30 KST","7?? Ë°Ñõ??ó×4?õóÏ¢ İÎÓĞ? ää?ïÍ?Óì?ó×4?õóÏ¢","","İï?¡¢ëòÓŞ××Øü"
"7140","en","Hanu Hanmari","https://english.visitseoul.net/restaurants/Hanu-Hanmari2/ENP007140?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP007140","07779 Hwagok 1(il)-dong, Gangseo-gu, Seoul 910-23","07779 65, Gangseo-ro 5na-gil, Gangseo-gu, Seoul ","+82-2-2065-1616","","Open 24 hours","Line 5 Kkachisan Exit 3  ","","Grilled Beef"
"7142","zh-TW","ìéô´ùÛéÚ","https://tchinese.visitseoul.net/restaurants/ìéô´ùÛéÚ5/TCP007140?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP007140","07779 âÏì³ã¼Ë°à¤Ï¡ü¢ÍÛ1Ô× 910-23","07779 âÏì³ã¼Ë°à¤Ï¡Ë°à¤ÖØ5naÊ¶65 ","+82-2-2065-1616","","24á³ãÁç½åö","5ûÜàÊ ıìíÎß£ 3ûÜõóÏ¢  ","","?éÚë¿"
"1070","zh-TW","Dublin Terrace","https://tchinese.visitseoul.net/restaurants/Dublin-Terrace-TC/TCP001064?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP001064","135-908 âÏì³ã¼Ë°ÑõÏ¡æ¾ß²Ô×635-6 ","06130 âÏì³ã¼Ë°ÑõÏ¡Ë°ÑõÓŞÖØ94Ê¶27-15 ","+82-2-555-2553","","15:00~01:00 KST","ò¢ôÑ2ûÜàÊË°Ñõó×11,12ûÜõóÏ¢","",""
"1082","zh-CN","Guillaume","https://chinese.visitseoul.net/restaurants/Guillaume-CN/CNP001077?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP001077","135-954  ","06014 âÏ?ã¼Ë°Ñõ?à¾×ÕÖØ152Ê¶17 ","+82-2-512-6701","","øÁìí11:00~24:00, ñ²ØÇ10:00~24:00 KST","3?? ää?ïÍó×3?õóÏ¢ İÎÓĞ? ää?ïÍ?Óì?ó×4?õóÏ¢ÜÆú¼5İÂ?","","ÎåĞºÕôØüøĞ,ÛöãÒØüøĞ"
"1100","en","Coffee Bangatgan","https://english.visitseoul.net/restaurants/Coffee-Bangatgan-EN/ENP001097?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP001097","110-210 102-1, Hwa-dong, Jongno-gu, Seoul, Korea ","03053 8-11, Bukchon-ro 5ga-gil, Jongno-gu, Seoul, Korea ","+82-2-732-7656","","Daily 08:30 - 23:00","Subway Line 3, Anguk Station, Exit 2 (600 m on foot)","",""
"30857","zh-TW","éàİ£ÕÎÔ³","https://tchinese.visitseoul.net/restaurants/éàİ£ÕÎÔ³/TCP030811?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP030811"," âÏì³ã¼ÔŞíÍÏ¡ß¾Ô³1Ô×666-3 ","06968 âÏì³ã¼ÔŞíÍÏ¡ß¾Ô³ÖØ37Ê¶3(ß¾Ô³1Ô×) ","+82-507-1428-0599","https://www.instagram.com/ooh_breado/","10:00~22:00 (KST)","7ûÜàÊß¾Ô³ó×5ûÜõóÏ¢ÜÆú¼97Íëô©","ùÛÙş",""
